coin,id
BTC,1
ETH,1027
XRP,52
AAVE,7278
ADA,2010
BNB,1839
DOGE,74
DOT,6636
OMI,6432
AVAX,5805
ENJ,2130
LINK,1975
FLOW,4558
LTC,2
THETA,2416
XMR,328
